PostID,Date,Platform,ContentType,Campaign,PostHour,Impressions,Reach,Engagements,Likes,Comments,Shares,Clicks,Saves,VideoViews,FollowersGained,AdSpend,TargetAudience,PostCaption,HashtagCount,MediaCount,IsSponsored,InfluencerID,SentimentScore,CTR,EngagementRate,CostPerEngagement,ReachRate,ClickThroughRate,VideoViewRate,SaveRate,FollowerGrowthRate,ROI
POST_02978,2026-04-25,Facebook,Text,Holiday Campaign 2024,6.0,17899.0,6933.0,1676.0,523.0,133.0,738.0,548.0,257.0,18051.0,61.0,23.28428540349026,35-44,Sample post caption 2978,0.0,9.0,True,,-0.73,0.0846,9.36,0.0139,38.73,3.06,100.85,1.44,0.88,1076.76
POST_02979,2026-06-03,TikTok,Text,Paid Ads Q2,17.0,47385.0,24597.0,1333.0,921.0,457.0,118.0,1502.0,366.0,19568.0,47.0,178.04213489382136,55+,Sample post caption 2979,12.0,1.0,False,,-0.47,0.1312,2.81,0.1336,51.91,3.17,41.3,0.77,0.19,321.81
POST_02980,2024-01-30,Pinterest,Text,User Generated Content,15.0,17719.0,27949.0,1034.0,2529.0,420.0,353.0,1050.0,145.0,23837.0,210.0,333.2528885156678,35-44,Sample post caption 2980,3.0,3.0,True,,0.68,0.0581,5.84,0.3223,157.73,5.93,134.53,0.82,0.75,57.54
POST_02981,2027-05-16,Instagram,Image,Spring Collection,20.0,4067.0,15708.0,2381.0,1303.0,267.0,707.0,524.0,377.0,21331.0,294.0,445.5357398283378,25-34,Sample post caption 2981,12.0,8.0,False,INF_003,0.58,0.0185,58.54,0.1871,386.23,12.88,524.49,9.27,1.87,-41.19
POST_02982,2024-02-16,Instagram,Image,Paid Ads Q2,4.0,27588.0,6189.0,3246.0,576.0,491.0,87.0,1001.0,440.0,10586.0,41.0,37.11208349648815,18-24,Sample post caption 2982,11.0,3.0,False,,0.98,0.0653,11.77,0.0114,22.43,3.63,38.37,1.59,0.66,1248.62
POST_02983,2025-10-18,TikTok,Carousel,New Year Promo,22.0,13311.0,14234.0,1996.0,1540.0,80.0,35.0,-1925.0,454.0,4917.0,95.0,329.4771814627541,25-34,Sample post caption 2983,14.0,3.0,False,,-0.95,0.1306,15.0,0.1651,106.93,14.46,36.94,3.41,0.67,192.13
POST_02984,2026-02-28,TikTok,Image,Influencer Collab,14.0,21269.0,29374.0,3876.0,1386.0,218.0,313.0,1600.0,406.0,16005.0,-48.0,243.5385276244096,18-24,Sample post caption 2984,1.0,8.0,True,INF_014,-0.72,0.1351,18.22,0.0628,138.11,7.52,75.25,1.91,-0.16,228.49
POST_02985,2025-08-13,  Twitter  ,Video,Brand Awareness Q1,4.0,30473.0,13015.0,2390.0,2893.0,1.0,539.0,413.0,18.0,7428.0,233.0,343.2444535987655,55+,Sample post caption 2985,0.0,3.0,False,INF_085,-0.33,0.0884,7.84,0.1436,42.71,1.36,24.38,0.06,1.79,-39.84
POST_02986,2024-09-28,Pinterest,Text,Spring Collection,10.0,32769.0,10543.0,3145.0,1383.0,308.0,550.0,714.0,432.0,23245.0,239.0,158.60127658259216,18-24,Sample post caption 2986,14.0,2.0,False,,0.39,0.0093,9.6,0.0504,32.17,2.18,70.94,1.32,2.27,125.09
POST_02987,2025-10-28,Facebook,Text,,21.0,6734.0,19422.0,886.0,1526.0,408.0,321.0,179.0,428.0,20786.0,291.0,355.35064104678145,45-54,Sample post caption 2987,12.0,3.0,False,INF_016,-0.37,0.1084,13.16,0.4011,288.42,2.66,308.67,6.36,1.5,-74.81
POST_02988,2024-08-03,Twitter,Video,Video Series 2025,13.0,940.0,22218.0,543.0,898.0,250.0,426.0,1832.0,251.0,1057.0,235.0,90.13085092514372,45-54,Sample post caption 2988,1.0,2.0,True,,-0.31,3.0506,57.77,0.166,2363.62,194.89,112.45,26.7,1.06,916.3
POST_02989,2026-02-24,TikTok,Text,User Generated Content,18.0,34329.0,26228.0,4837.0,1109.0,493.0,516.0,1487.0,561.0,22696.0,-3.0,387.69978575630626,45-54,Sample post caption 2989,9.0,8.0,False,INF_039,-0.55,0.0678,14.09,0.0802,76.4,4.33,66.11,1.63,-0.01,91.77
POST_02990,2025-08-08,YouTube,Story,Influencer Collab,2.0,21418.0,1169.0,1862.0,519.0,235.0,652.0,782.0,220.0,17752.0,14.0,374.6746323397441,35-44,Sample post caption 2990,5.0,5.0,False,,0.82,0.0245,8.69,0.2012,5.46,3.65,82.88,1.03,1.2,4.36
POST_02991,2025-03-02,Facebook,Carousel,Organic Growth,23.0,15505.0,2264.0,3562.0,1026.0,155.0,739.0,900.0,112.0,24486.0,170.0,473.3933314918674,45-54,Sample post caption 2991,4.0,3.0,True,,0.1,0.091,22.97,0.1329,14.6,5.8,157.92,0.72,7.51,-4.94
POST_02992,2025-09-24,TikTok,Image,Retargeting Campaign,9.0,47871.0,8050.0,4543.0,898.0,428.0,8.0,526.0,148.0,14867.0,96.0,86.6119564709335,18-24,Sample post caption 2992,11.0,8.0,False,,-0.68,0.0723,9.49,0.0191,16.82,1.1,31.06,0.31,1.19,203.65
POST_02993,2025-10-16,Twitter,Video,Paid Ads Q2,5.0,36340.0,8115.0,2201.0,467.0,36.0,358.0,0.0,559.0,22122.0,129.0,360.9992602179546,25-34,Sample post caption 2993,12.0,8.0,True,,0.16,0.0091,6.06,0.164,22.33,0.0,60.88,1.54,1.59,-100.0
POST_02994,2024-02-01,Instagram,Video,Product Launch Alpha,2.0,15947.0,29686.0,1955.0,1613.0,228.0,477.0,270.0,57.0,9863.0,246.0,161.32502221856026,35-44,Sample post caption 2994,0.0,4.0,False,,-0.68,0.0597,12.26,0.0825,186.15,1.69,61.85,0.36,0.83,-16.32
POST_02995,2025-05-24,Facebook,Image,Summer Sale 2024,1.0,23647.0,10153.0,1615.0,615.0,144.0,56.0,483.0,196.0,21017.0,298.0,140.92841790498744,55+,Sample post caption 2995,14.0,9.0,False,,-0.46,0.1408,6.83,0.0873,42.94,2.04,88.88,0.83,2.94,71.36
POST_02996,2026-06-29,YouTube,Video,Brand Awareness Q1,12.0,6675.0,19335.0,3168.0,607.0,324.0,282.0,955.0,17.0,15605.0,30.0,200.79780619625086,35-44,Sample post caption 2996,2.0,1.0,False,INF_045,0.39,0.0617,47.46,0.0634,289.66,14.31,233.78,0.25,0.16,137.8
POST_02997,2025-10-04,Facebook,Image,Retargeting Campaign,17.0,30223.0,1135.0,4468.0,1657.0,55.0,444.0,1071.0,214.0,20122.0,142.0,142.60078145360345,25-34,Sample post caption 2997,11.0,7.0,False,INF_019,0.52,0.0644,14.78,0.0319,3.76,3.54,66.58,0.71,12.51,275.52
POST_02998,2025-07-12,Instagram,Video,Back to School,1.0,4943.0,16607.0,4012.0,623.0,120.0,460.0,693.0,15.0,3625.0,246.0,124.09676033207661,45-54,Sample post caption 2998,9.0,5.0,False,,-0.13,0.0836,81.17,0.0309,335.97,14.02,73.34,0.3,1.48,179.22
POST_02999,2024-10-23,Instagram,Reel,,14.0,27551.0,13614.0,4680.0,2605.0,313.0,489.0,1206.0,398.0,15025.0,72.0,384.19262150850926,25-34,Sample post caption 2999,5.0,7.0,False,,-0.67,0.0446,16.99,0.0821,49.41,4.38,54.54,1.44,0.53,56.95
POST_03000,2025-10-19,YouTube,Image,Spring Collection,4.0,7839.0,3582.0,4756.0,2186.0,210.0,358.0,839.0,232.0,21584.0,238.0,349.7517527169761,35-44,Sample post caption 3000,4.0,8.0,True,,-0.58,0.011,60.67,0.0735,45.69,10.7,275.34,2.96,6.64,19.94
POST_03001,2024-11-05,LinkedIn,Text,Summer Sale 2024,14.0,14952.0,29345.0,231.0,2380.0,259.0,689.0,372.0,24.0,19120.0,177.0,54.679248197376516,35-44,Sample post caption 3001,5.0,3.0,False,,0.08,0.0902,1.54,0.2367,196.26,2.49,127.88,0.16,0.6,240.17
POST_03002,2025-05-09,TikTok,Carousel,Summer Sale 2024,20.0,49192.0,17672.0,596.0,2445.0,102.0,593.0,1749.0,400.0,8896.0,31.0,280.09071313515716,35-44,Sample post caption 3002,7.0,3.0,True,INF_065,0.18,0.0743,1.21,0.47,35.92,3.56,18.08,0.81,0.18,212.22
POST_03003,2024-09-07,Instagram,Image,Video Series 2025,16.0,9257.0,27936.0,4124.0,158.0,438.0,596.0,538.0,364.0,24858.0,33.0,165.50132713396542,25-34,Sample post caption 3003,5.0,1.0,False,,0.74,0.1025,44.55,0.0401,301.78,5.81,268.53,3.93,0.12,62.54
POST_03004,2026-04-04,LinkedIn,Reel,Holiday Campaign 2024,1.0,22506.0,4884.0,2080.0,2920.0,304.0,64.0,1530.0,294.0,12021.0,192.0,485.5173212491107,18-24,Sample post caption 3004,10.0,5.0,True,,-0.46,0.0715,9.24,0.2334,21.7,6.8,53.41,1.31,3.93,57.56
POST_03005,2026-04-06,Twitter,Carousel,Organic Growth,17.0,47384.0,20247.0,4953.0,2588.0,234.0,428.0,1761.0,436.0,20067.0,164.0,212.52138238591596,18-24,Sample post caption 3005,13.0,8.0,False,,0.22,0.0371,10.45,0.0429,42.73,3.72,42.35,0.92,0.81,314.31
POST_03006,2025-12-02,TikTok,Video,Brand Refresh,14.0,45300.0,12058.0,2676.0,2718.0,37.0,456.0,669.0,70.0,17354.0,123.0,20.28683828820149,45-54,Sample post caption 3006,4.0,1.0,False,INF_075,-0.99,0.0577,5.91,0.0076,26.62,1.48,38.31,0.15,1.02,1548.85
POST_03007,2025-02-19,YouTube,Text,Holiday Campaign 2024,19.0,7532.0,13012.0,1373.0,246.0,300.0,135.0,1995.0,558.0,16872.0,295.0,165.8580620404908,55+,Sample post caption 3007,10.0,2.0,False,,-0.06,0.002,18.23,0.1208,172.76,26.49,224.0,7.41,2.27,501.42
POST_03008,2024-10-31,Facebook,Video,Brand Refresh,22.0,18937.0,14511.0,2027.0,2597.0,107.0,761.0,1529.0,24.0,11298.0,276.0,156.3538690947162,25-34,Sample post caption 3008,3.0,2.0,False,,-0.2,0.0233,10.7,0.0771,76.63,8.07,59.66,0.13,1.9,388.95
POST_03009,2025-04-09,LinkedIn,Carousel,Back to School,2.0,15248.0,23518.0,2083.0,452.0,413.0,605.0,571.0,373.0,23845.0,54.0,2.817377698594359,18-24,Sample post caption 3009,4.0,2.0,True,,-0.76,0.1179,13.66,0.0014,154.24,3.74,156.38,2.45,0.23,10033.54
POST_03010,2024-03-15,Facebook,Image,Back to School,4.0,11294.0,14638.0,3955.0,2328.0,223.0,47.0,65.0,544.0,10281.0,6.0,243.89114654419382,45-54,Sample post caption 3010,12.0,5.0,True,,0.78,0.1398,35.02,0.0617,129.61,0.58,91.03,4.82,0.04,-86.67
POST_03011,2025-12-06,Twitter,Story,,10.0,32691.0,8062.0,3886.0,756.0,292.0,611.0,1709.0,457.0,8361.0,225.0,452.8980669998551,55+,Sample post caption 3011,10.0,7.0,False,INF_097,-0.78,0.0548,11.89,0.1165,24.66,5.23,25.58,1.4,2.79,88.67
POST_03012,2024-03-02,Instagram,Video,User Generated Content,8.0,-14919.0,18407.0,3326.0,408.0,183.0,193.0,51.0,213.0,12208.0,118.0,401.15662035662876,45-54,Sample post caption 3012,8.0,3.0,False,,-0.47,0.1391,22.29,0.1206,123.38,0.34,81.83,1.43,0.64,-93.64
POST_03013,2024-06-10,Instagram,Carousel,Retargeting Campaign,4.0,6725.0,20216.0,4150.0,2821.0,154.0,116.0,469.0,210.0,7150.0,188.0,342.3267261433253,45-54,Sample post caption 3013,13.0,1.0,False,,0.47,0.0953,61.71,0.0825,300.61,6.97,106.32,3.12,0.93,-31.5
POST_03014,2025-03-26,Instagram,Image,Back to School,0.0,7504.0,18678.0,2441.0,1072.0,31.0,778.0,242.0,540.0,9784.0,24.0,171.76735049968218,55+,Sample post caption 3014,9.0,9.0,False,INF_028,-0.64,0.0421,32.53,0.0704,248.91,3.22,130.38,7.2,0.13,-29.56
POST_03015,2025-03-01,LinkedIn,Carousel,Summer Sale 2024,13.0,,9899.0,1809.0,751.0,233.0,163.0,Null,38.0,13155.0,243.0,115.98186615142575,35-44,Sample post caption 3015,10.0,9.0,True,,-0.85,0.09,12.24,0.0641,67.0,2.27,89.04,0.26,2.45,44.85
POST_03016,2025-05-10,Instagram,Text,User Generated Content,4.0,10607.0,8654.0,3364.0,2822.0,394.0,478.0,,259.0,8757.0,232.0,171.3082615394115,18-24,Sample post caption 3016,5.0,4.0,True,,0.94,0.1212,31.71,0.0509,81.59,17.22,82.56,2.44,2.68,432.96
POST_03017,2025-04-20,TikTok,Video,Influencer Collab,7.0,20487.0,13817.0,1735.0,1297.0,488.0,286.0,755.0,94.0,9609.0,145.0,61.529671971996045,18-24,Sample post caption 3017,4.0,5.0,False,,-0.41,0.1179,8.47,0.0355,67.44,3.69,46.9,0.46,1.05,513.53
POST_03018,2024-07-27,Instagram,Carousel,Video Series 2025,20.0,18797.0,15161.0,3667.0,1582.0,249.0,535.0,1144.0,389.0,7355.0,167.0,49.744243781577154,55+,Sample post caption 3018,10.0,4.0,False,,-0.88,0.1328,19.51,0.0136,80.66,6.09,39.13,2.07,1.1,1049.88
POST_03019,2024-12-14,Facebook,Video,New Year Promo,13.0,37491.0,7271.0,2978.0,2288.0,57.0,493.0,553.0,219.0,24960.0,102.0,287.2663733407536,18-24,Sample post caption 3019,10.0,8.0,False,INF_087,-0.72,0.1181,7.94,0.0965,19.39,1.48,66.58,0.58,1.4,-3.75
POST_03020,2025-09-13,TikTok,Story,New Year Promo,15.0,19647.0,7864.0,1034.0,2038.0,332.0,404.0,1719.0,267.0,14199.0,219.0,406.99694459173156,25-34,Sample post caption 3020,7.0,1.0,True,,-0.56,0.1043,5.26,0.3936,40.03,8.75,72.27,1.36,2.78,111.18
POST_03021,2024-05-27,Instagram,Video,Video Series 2025,5.0,23670.0,11652.0,416.0,1193.0,162.0,95.0,1068.0,493.0,10837.0,-14.0,49.69539532748912,25-34,Sample post caption 3021,4.0,4.0,False,INF_046,0.92,0.0576,1.76,0.1195,49.23,4.51,45.78,2.08,-0.12,974.55
POST_03022,2024-11-16,Instagram,Story,New Year Promo,7.0,39883.0,12334.0,1986.0,1402.0,16.0,496.0,51.0,65.0,19519.0,127.0,167.59355073241716,25-34,Sample post caption 3022,4.0,4.0,False,,-0.97,0.027,4.98,0.0844,30.93,0.13,48.94,0.16,1.03,-84.78
POST_03023,2026-06-01,LinkedIn,Story,Brand Awareness Q1,1.0,28137.0,17816.0,666.0,2251.0,413.0,253.0,1174.0,386.0,20560.0,297.0,61.37704583722214,55+,Sample post caption 3023,7.0,3.0,False,,0.59,0.0169,2.37,0.0922,63.32,4.17,73.07,1.37,1.67,856.38
POST_03024,2026-01-05,Instagram,Video,Brand Awareness Q1,18.0,30183.0,15560.0,1352.0,2796.0,253.0,413.0,412.0,192.0,23307.0,149.0,,45-54,Sample post caption 3024,8.0,4.0,False,,0.56,0.1219,4.48,0.1148,51.55,1.37,77.22,0.64,0.96,32.7
POST_03025,2024-11-22,Facebook,Image,Back to School,8.0,48129.0,1173.0,3475.0,2282.0,145.0,632.0,1564.0,319.0,16363.0,119.0,415.1316720494751,45-54,Sample post caption 3025,7.0,7.0,False,,-0.0,0.115,7.22,0.1195,2.44,3.25,34.0,0.66,10.14,88.37
POST_03026,2026-01-21,Instagram,Video,New Year Promo,4.0,40650.0,12571.0,1310.0,726.0,228.0,583.0,568.0,546.0,19640.0,259.0,17.423388395478245,35-44,Sample post caption 3026,14.0,5.0,False,,0.87,0.1342,3.22,0.0133,30.92,1.4,48.31,1.34,2.06,1529.99
POST_03027,2026-05-31,YouTube,Story,Product Launch Alpha,4.0,38082.0,21615.0,4291.0,1444.0,239.0,370.0,1521.0,174.0,23896.0,74.0,323.6068220389839,35-44,Sample post caption 3027,14.0,3.0,True,,-0.97,0.0106,11.27,0.0754,56.76,3.99,62.75,0.46,0.34,135.01
POST_03028,2024-12-19,LinkedIn,Image,Paid Ads Q2,18.0,39806.0,20446.0,2838.0,1180.0,285.0,575.0,1810.0,111.0,8429.0,112.0,29.918297600581624,25-34,Sample post caption 3028,8.0,6.0,False,,-0.01,0.0953,7.13,0.0105,51.36,4.55,21.18,0.28,0.55,2924.9
POST_03029,2025-02-12,LinkedIn,Video,Holiday Campaign 2024,3.0,3088.0,2293.0,4685.0,727.0,345.0,242.0,1232.0,307.0,23847.0,236.0,213.27295483067172,25-34,Sample post caption 3029,14.0,9.0,False,,-0.49,0.1081,151.72,0.0455,74.26,39.9,772.25,9.94,10.29,188.83
POST_03030,2024-05-13,LinkedIn,Story,Retargeting Campaign,15.0,5256.0,2639.0,1858.0,89.0,374.0,638.0,7.0,339.0,16237.0,199.0,237.0264093391753,55+,Sample post caption 3030,8.0,3.0,False,,0.52,0.0619,35.35,0.1276,50.21,0.13,308.92,6.45,7.54,-98.52
POST_03031,2026-02-17,Facebook,Video,Organic Growth,15.0,38380.0,10020.0,4600.0,2753.0,15.0,372.0,945.0,79.0,15846.0,177.0,200.75501923907635,25-34,Sample post caption 3031,7.0,2.0,False,,-0.65,0.0797,11.99,0.0436,26.11,2.46,41.29,0.21,1.77,135.36
POST_03032,2025-01-14,Instagram,Carousel,Product Launch Alpha,15.0,9888.0,17563.0,4680.0,2870.0,74.0,38.0,1414.0,477.0,11632.0,94.0,318.69273671491965,25-34,Sample post caption 3032,13.0,9.0,False,,0.75,0.0745,47.33,0.0681,177.62,14.3,117.64,4.82,0.54,121.84
POST_03033,2025-06-11,TikTok,Image,New Year Promo,6.0,14285.0,14680.0,820.0,56.0,437.0,352.0,246.0,110.0,22826.0,62.0,486.83169260653756,25-34,Sample post caption 3033,6.0,5.0,False,,-0.19,0.0652,5.74,0.5937,102.77,1.72,159.79,0.77,0.42,-74.73
POST_03034,2025-07-29,Facebook,Image,New Year Promo,17.0,18834.0,25270.0,3510.0,1754.0,259.0,425.0,1418.0,486.0,21216.0,290.0,133.6499021549702,18-24,Sample post caption 3034,14.0,5.0,True,INF_064,-0.73,0.0436,18.64,0.0381,134.17,7.53,112.65,2.58,1.15,430.49
POST_03035,2024-04-18,Instagram,Text,Holiday Campaign 2024,23.0,10071.0,11764.0,1481.0,1068.0,382.0,76.0,1730.0,452.0,10124.0,295.0,304.8845152117684,45-54,Sample post caption 3035,14.0,7.0,True,INF_037,-0.93,0.1484,14.71,0.2059,116.81,17.18,100.53,4.49,2.51,183.71
POST_03036,2024-11-22,Instagram,Image,Paid Ads Q2,20.0,43508.0,9799.0,3518.0,1256.0,360.0,509.0,833.0,412.0,2576.0,41.0,177.48927424757193,18-24,Sample post caption 3036,12.0,2.0,False,,0.38,0.1325,8.09,0.0505,22.52,1.91,5.92,0.95,0.42,134.66
POST_03037,2024-09-04,Instagram,Video,New Year Promo,0.0,6587.0,22733.0,2042.0,744.0,398.0,516.0,1362.0,185.0,2071.0,130.0,499.7503371048426,25-34,Sample post caption 3037,6.0,5.0,False,,0.86,0.118,31.0,0.2447,345.12,20.68,31.44,2.81,0.57,36.27
POST_03038,2025-04-22,Pinterest,Story,Spring Collection,2.0,21097.0,4551.0,1335.0,2744.0,459.0,139.0,411.0,552.0,24907.0,77.0,475.4984035648879,25-34,Sample post caption 3038,11.0,8.0,False,,0.94,0.1263,6.33,0.3562,21.57,1.95,118.06,2.62,1.69,-56.78
POST_03039,2024-05-05,Facebook,Video,Summer Sale 2024,20.0,46556.0,23473.0,4880.0,2486.0,410.0,251.0,951.0,86.0,19513.0,227.0,46.70143600237697,18-24,Sample post caption 3039,0.0,8.0,False,,0.75,0.1256,10.48,0.0096,50.42,2.04,41.91,0.18,0.97,918.17
POST_03040,2024-09-30,Twitter,Live,User Generated Content,7.0,12552.0,19207.0,3811.0,1875.0,495.0,668.0,1563.0,223.0,10703.0,118.0,486.7979931352272,18-24,Sample post caption 3040,14.0,7.0,False,,-0.22,0.0112,30.36,0.1277,153.02,12.45,85.27,1.78,0.61,60.54
POST_03041,2025-04-05,Facebook,Live,Holiday Campaign 2024,0.0,0,19219.0,18,2644.0,3.0,770.0,1368.0,50.0,11241.0,208.0,369.13567658199094,55+,Sample post caption 3041,14.0,5.0,True,,0.81,0.0862,7.46,0.3199,124.22,8.84,72.65,0.32,1.08,85.3
POST_03042,2024-09-10,Pinterest,Video,New Year Promo,6.0,44867.0,23374.0,11.0,2492.0,418.0,316.0,842.0,125.0,4284.0,297.0,496.172345154495,55+,Sample post caption 3042,6.0,4.0,False,,0.29,0.0706,0.02,45.1066,52.1,1.88,9.55,0.28,1.27,-15.15
POST_03043,2024-05-24,Facebook,Image,Paid Ads Q2,6.0,13534.0,1756.0,1441.0,2217.0,250.0,419.0,1319.0,145.0,3535.0,12.0,385.4753299048641,25-34,Sample post caption 3043,14.0,2.0,False,,-0.87,0.0298,10.65,0.2675,12.97,9.75,26.12,1.07,0.68,71.09
POST_03044,2024-04-09,Instagram,Text,,7.0,12516.0,19035.0,3255.0,,84.0,748.0,234.0,40.0,6365.0,271.0,64.46677017934866,18-24,Sample post caption 3044,9.0,2.0,False,,-0.66,0.0392,26.01,0.0198,152.09,1.87,50.85,0.32,1.42,81.49
POST_03045,2024-02-21,TikTok,Video,,18.0,19348.0,28269.0,3544.0,2616.0,62.0,74.0,641.0,354.0,16283.0,251.0,375.2343722509272,55+,Sample post caption 3045,5.0,3.0,True,,-0.23,0.0212,18.32,0.1059,146.11,3.31,84.16,1.83,0.89,-14.59
POST_03046,2024-10-24,TikTok,Image,Brand Refresh,16.0,46813.0,8616.0,699.0,1489.0,99.0,28.0,587.0,444.0,15298.0,161.0,363.3138078909897,35-44,Sample post caption 3046,13.0,3.0,True,,-0.39,0.071,1.49,0.5198,18.41,1.25,32.68,0.95,1.87,-19.22
POST_03047,2025-01-28,Instagram,Text,Brand Awareness Q1,10.0,28294.0,1662.0,2970.0,75.0,321.0,40.0,1468.0,362.0,352.0,191.0,83.36788832577552,18-24,Sample post caption 3047,11.0,7.0,False,,-0.33,0.0384,10.5,0.0281,5.87,5.19,1.24,1.28,11.49,780.43
POST_03048,2026-06-03,Instagram,Image,Brand Awareness Q1,14.0,33885.0,16888.0,3304.0,727.0,242.0,540.0,232.0,535.0,3122.0,85.0,376.5863955365167,45-54,Sample post caption 3048,0.0,6.0,False,,0.47,0.0319,9.75,0.114,49.84,0.68,9.21,1.58,0.5,-69.2
POST_03049,2025-09-22,Insta,Story,Summer Sale 2024,8.0,37558.0,4347.0,4848.0,2998.0,294.0,491.0,741.0,283.0,5207.0,-12.0,337.38629868373914,35-44,Sample post caption 3049,9.0,1.0,False,INF_087,-0.88,0.0823,12.91,0.0696,11.57,1.97,13.86,0.75,-0.28,9.81
POST_03050,2025-03-04,Instagram,Image,Brand Awareness Q1,16.0,,17909.0,4246.0,272.0,411.0,99.0,1867.0,35.0,14823.0,299.0,497.22200032591,35-44,Sample post caption 3050,12.0,6.0,True,,0.21,0.0319,50.11,0.1171,211.37,22.03,174.94,0.41,1.67,87.74
POST_03051,2024-09-11,Instagram,Image,User Generated Content,10.0,30383.0,15596.0,3372.0,221.0,161.0,319.0,1905.0,276.0,18415.0,252.0,309.3697850170059,18-24,Sample post caption 3051,9.0,5.0,False,INF_057,-0.33,0.0884,11.1,0.0917,51.33,6.27,60.61,0.91,1.62,207.88
POST_03052,2026-06-05,Twitter,Image,Retargeting Campaign,5.0,29515.0,16017.0,4957.0,549.0,416.0,569.0,1944.0,324.0,2926.0,17.0,207.30480373830213,25-34,Sample post caption 3052,7.0,6.0,False,,0.76,0.0233,16.79,0.0418,54.27,6.59,9.91,1.1,0.11,368.87
POST_03053,2026-07-12,Instagram,Reel,Flash Sale March,8.0,26514.0,9095.0,4387.0,1104.0,177.0,722.0,996.0,181.0,5825.0,6.0,476.9575221704527,45-54,Sample post caption 3053,8.0,8.0,False,,-0.89,0.1058,16.55,0.1087,34.3,3.76,21.97,0.68,0.07,4.41
POST_03054,2024-06-12,Instagram,Carousel,Video Series 2025,17.0,14478.0,25349.0,30.0,2358.0,443.0,649.0,1886.0,470.0,4044.0,102.0,,55+,Sample post caption 3054,10.0,1.0,True,INF_051,0.94,0.0455,0.21,10.464,175.09,13.03,27.93,3.25,0.4,200.39
POST_03055,2027-03-09,LinkedIn,Story,Flash Sale March,19.0,18436.0,1441.0,4552.0,1791.0,327.0,522.0,309.0,416.0,12388.0,150.0,174.31605498820778,55+,Sample post caption 3055,10.0,6.0,False,,-0.84,0.1145,24.69,0.0383,7.82,1.68,67.19,2.26,10.41,-11.37
POST_03056,2024-12-01,Pinterest,Video,Flash Sale March,1.0,4800.0,10629.0,2158.0,1971.0,327.0,188.0,1936.0,149.0,24265.0,36.0,10.522834266231683,25-34,Sample post caption 3056,1.0,4.0,False,,-0.13,0.1195,44.96,0.0049,221.44,40.33,505.52,3.1,0.34,9099.04
POST_03057,2025-08-14,LinkedIn,Video,Brand Refresh,3.0,14001.0,8503.0,4340.0,1930.0,251.0,449.0,943.0,403.0,23975.0,267.0,378.31978421192304,45-54,Sample post caption 3057,12.0,9.0,True,INF_022,0.71,0.1479,31.0,0.0872,60.73,6.74,171.24,2.88,3.14,24.63
POST_03058,2026-01-08,Facebook,Image,,17.0,24938.0,8058.0,3494.0,423.0,41.0,93.0,907.0,513.0,4620.0,-12.0,59.763090933763976,45-54,Sample post caption 3058,3.0,8.0,False,INF_026,-0.36,0.0025,14.01,0.0171,32.31,3.64,18.53,2.06,-0.15,658.83
POST_03059,2024-11-16,  Facebook  ,Video,Summer Sale 2024,0.0,22697.0,15998.0,336.0,1262.0,241.0,180.0,700.0,565.0,1170.0,197.0,461.83469116897504,35-44,Sample post caption 3059,10.0,7.0,False,,0.7,0.1215,1.48,1.3745,70.49,3.08,5.15,2.49,1.23,-24.22
POST_03060,2024-07-13,Pinterest,Carousel,Summer Sale 2024,10.0,33528.0,25168.0,649.0,1860.0,341.0,320.0,477.0,440.0,15505.0,63.0,480.69583674715363,35-44,Sample post caption 3060,6.0,3.0,False,,0.93,0.0723,1.94,0.7407,75.07,1.42,46.24,1.31,0.25,-50.38
POST_03061,2026-02-20,Instagram,Carousel,Organic Growth,2.0,40249.0,25176.0,1857.0,2899.0,90.0,282.0,1537.0,245.0,5640.0,153.0,118.2106742454715,45-54,Sample post caption 3061,13.0,9.0,False,,-0.75,0.0184,4.61,0.0637,62.55,3.82,14.01,0.61,0.61,550.11
POST_03062,2024-06-12,Facebook,Video,User Generated Content,7.0,35787.0,5475.0,4135.0,2936.0,27.0,390.0,335.0,45.0,4917.0,155.0,-79.06161322781703,18-24,Sample post caption 3062,11.0,3.0,True,INF_055,-0.05,0.1137,11.55,0.0136,15.3,0.94,13.74,0.13,2.83,196.97
POST_03063,2025-05-25,Twitter,Reel,Holiday Campaign 2024,4.0,29593.0,14207.0,2928.0,2512.0,458.0,320.0,1600.0,74.0,21629.0,84.0,297.66001555575957,18-24,Sample post caption 3063,12.0,6.0,False,,-0.54,0.0099,9.89,0.1017,48.01,5.41,73.09,0.25,0.59,168.76
POST_03064,2025-06-11,LinkedIn,Image,Back to School,19.0,,28423.0,2436.0,587.0,154.0,569.0,51.0,148.0,11825.0,211.0,106.8658991555469,18-24,Sample post caption 3064,10.0,2.0,False,,0.53,0.1302,7.62,0.0439,88.96,0.16,37.01,0.46,0.74,-76.14
POST_03065,2025-04-23,LinkedIn,Reel,Flash Sale March,20.0,11032.0,17071.0,3589.0,1565.0,118.0,24.0,545.0,405.0,7306.0,72.0,270.91994568951367,45-54,Sample post caption 3065,12.0,8.0,False,,-0.78,0.0949,32.53,0.0755,154.74,4.94,66.23,3.67,0.42,0.58
POST_03066,2025-05-25,Instagram,Image,Paid Ads Q2,21.0,23109.0,8406.0,3814.0,2966.0,384.0,259.0,300.0,2.0,14262.0,32.0,207.10232751304707,55+,Sample post caption 3066,0.0,1.0,yes,,0.55,0.0283,16.5,0.0543,36.38,1.3,61.72,0.01,0.38,-27.57
